Title,Genre,Premiere,Runtime,IMDB Score,Language
Mank,Biopic,4-Dec-2020,132,6.9,English
Our Souls at Night,Romance,29-Sep-2017,103,6.9,English
Outlaw King,Historical-epic,9-Nov-2018,121,6.9,English
Pagglait,Comedy-drama,26-Mar-2021,114,6.9,Hindi
ReMastered: Who Shot the Sheriff?,Documentary,12-Oct-2018,57,6.9,English
Seeing Allred,Documentary,9-Feb-2018,95,6.9,English
Spelling the Dream,Documentary,3-Jun-2020,83,6.9,English
The Claudia Kishi Club,Documentary,10-Jul-2020,17,6.9,English
The Half of It,Romance,1-May-2020,105,6.9,English
The Highwaymen,Crime drama,29-Mar-2019,131,6.9,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,23-May-2019,30,6.9,English
The Meyerowitz Stories (New and Selected),Comedy-drama,13-Oct-2017,112,6.9,English
Feminists: What Were They Thinking?,Documentary,12-Oct-2018,86,7,English
Gaga: Five Foot Two,Documentary,22-Sep-2017,100,7,English
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,3-Nov-2020,14,7,English
Kingdom of Us,Documentary,13-Oct-2017,109,7,English
"Lorena, Light-Footed Woman",Documentary,20-Nov-2019,28,7,Spanish
Los Tigres del Norte at Folsom Prison,Documentary,15-Sep-2019,64,7,Spanish
Ma Rainey's Black Bottom,Drama,18-Dec-2020,94,7,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,18-Dec-2020,31,7,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,17-Mar-2021,99,7,English
Pele,Documentary,23-Feb-2021,108,7,English
ReMastered: Devil at the Crossroads,Documentary,26-Apr-2019,48,7,English
ReMastered: The Lion's Share,Documentary,17-May-2019,84,7,English
ReMastered: The Miami Showband Massacre,Documentary,22-Mar-2019,70,7,English
Resurface,Documentary,1-Sep-2017,27,7,English
Rocko's Modern Life: Static Cling,Animation / Comedy,9-Aug-2019,45,7,English
Rose Island,Comedy,9-Dec-2020,117,7,Italian
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,22-Nov-2018,104,7,English
The Dirt,Biopic,22-Mar-2019,108,7,English
The Night Comes for Us,Action-thriller,19-Oct-2018,121,7,Indonesian
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,26-Jan-2017,36,7.1,English
Angela's Christmas,Animation,30-Nov-2018,30,7.1,English
Angela's Christmas Wish,Animation,1-Dec-2020,47,7.1,English
Beats,Drama,19-Jun-2019,110,7.1,English
Circus of Books,Documentary,22-Apr-2020,92,7.1,English
Dance Dreams: Hot Chocolate Nutcracker,Documentary,27-Nov-2020,80,7.1,English
Derren Brown: Sacrifice,Mentalism special,19-Oct-2018,49,7.1,English
El Pepe: A Supreme Life,Documentary,27-Dec-2019,73,7.1,Spanish
End Game,Documentary,4-May-2018,40,7.1,English
Evelyn,Documentary,10-Sep-2019,96,7.1,English
Ferry,Crime drama,14-May-2021,106,7.1,Dutch
Grass Is Greener,Documentary,20-Apr-2019,97,7.1,English
Guillermo Vilas: Settling the Score,Documentary,27-Oct-2020,94,7.1,Spanish
Joshua: Teenager vs. Superpower,Documentary,26-May-2017,78,7.1,English
Keith Richards: Under the Influence,Documentary,18-Sep-2015,81,7.1,English
Knock Down the House,Documentary,1-May-2019,87,7.1,English
Loudon Wainwright III: Surviving Twin,One-man show,13-Nov-2018,91,7.1,English
My Beautiful Broken Brain,Documentary,18-Mar-2016,91,7.1,English
One of Us,Documentary,20-Oct-2017,95,7.1,English
Pieces of a Woman,Drama,7-Jan-2021,126,7.1,English
"Ram Dass, Going Home",Documentary,6-Apr-2018,31,7.1,English
ReMastered: Tricky Dick & the Man in Black,Documentary,2-Nov-2018,58,7.1,English
Rooting for Roona,Documentary,15-Oct-2020,41,7.1,Bengali
The Devil All the Time,Psychological thriller,16-Sep-2020,138,7.1,English
The Dig,Drama,29-Jan-2021,112,7.1,English
The Great Hack,Documentary,24-Jul-2019,114,7.1,English
The White Tiger,Drama,22-Jan-2021,125,7.1,English
To All the Boys I've Loved Before,Romantic comedy,17-Aug-2018,99,7.1,English
American Murder: The Family Next Door,Documentary,30-Sep-2020,82,7.2,English
Audrie & Daisy,Documentary,23-Sep-2016,98,7.2,English
First They Killed My Father,Drama,15-Sep-2017,136,7.2,Khmer/English/French
Fyre: The Greatest Party That Never Happened,Documentary,18-Jan-2019,97,7.2,English
Into the Inferno,Documentary,28-Oct-2016,107,7.2,English
LA Originals,Documentary,10-Apr-2020,92,7.2,English
Ladies First,Documentary,8-Mar-2018,39,7.2,English/Hindi
Love per Square Foot,Romantic comedy,14-Feb-2018,133,7.2,Hindi
Paddleton,Drama-Comedy,22-Feb-2019,89,7.2,English
Private Life,Drama,5-Oct-2018,124,7.2,English
Seventeen,Coming-of-age comedy-drama,18-Oct-2019,99,7.2,Spanish
Sometimes,Drama,1-May-2018,101,7.2,Tamil
Soni,Crime drama,18-Jan-2019,97,7.2,Hindi
The 40-Year-Old Version,Comedy,9-Oct-2020,124,7.2,English
The Disciple,Drama,30-Apr-2021,129,7.2,Marathi
The Edge of Democracy,Documentary,19-Jun-2019,121,7.2,Portuguese
The King,Historical drama,1-Nov-2019,140,7.2,English
The Road to El Camino: A Breaking Bad Movie,Making-of,29-Oct-2019,13,7.2,English
The Siege of Jadotville,War,7-Oct-2016,108,7.2,English
Zion ,Documentary,10-Aug-2018,11,7.2,English
Dolemite Is My Name,Biopic,25-Oct-2019,118,7.3,English
El Camino: A Breaking Bad Movie,Crime drama,11-Oct-2019,121,7.3,English
Extremis,Documentary,13-Sep-2016,24,7.3,English
Father Soldier Son,Documentary,17-Jul-2020,100,7.3,English
Get Me Roger Stone,Documentary,12-May-2017,101,7.3,English
I'm No Longer Here,Drama,27-May-2020,105,7.3,Spanish
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,8-Jul-2020,96,7.3,Spanish/English
Octonauts & the Great Barrier Reef,Animation,13-Oct-2020,47,7.3,English
Okja,Action-adventure,28-Jun-2017,121,7.3,English/Korean
On My Skin,Crime drama,12-Sep-2018,100,7.3,Italian
Raat Akeli Hai,Thriller,31-Jul-2020,149,7.3,Hindi
ReMastered: Massacre at the Stadium,Documentary,11-Jan-2019,64,7.3,English/Spanish
ReMastered: The Two Killings of Sam Cooke,Documentary,8-Feb-2019,64,7.3,English
Secrets of the Saqqara Tomb,Documentary,28-Oct-2020,114,7.3,English/Arabic
Sitara: Let Girls Dream,Animation / Short,8-Mar-2020,15,7.3,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,14-Oct-2016,79,7.3,English/Mandarin
Team Foxcatcher,Documentary,29-Apr-2016,90,7.3,English/Russian
The Ballad of Buster Scruggs,Western,16-Nov-2018,132,7.3,English
The Death and Life of Marsha P. Johnson,Documentary,6-Oct-2017,105,7.3,English
The Fundamentals of Caring,Comedy-drama,24-Jun-2016,97,7.3,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,22-May-2015,83,7.3,English
American Factory,Documentary,21-Aug-2019,110,7.4,English
Fire in Paradise,Documentary,1-Nov-2019,39,7.4,English
Long Shot,Documentary,29-Sep-2017,40,7.4,English
Miss Americana,Documentary,31-Jan-2020,85,7.4,English
Period. End of Sentence.,Documentary,12-Feb-2019,26,7.4,English/Hindi
Shawn Mendes: Live in Concert,Concert Film,25-Nov-2020,87,7.4,English
Shirkers,Documentary,26-Oct-2018,97,7.4,English
The Black Godfather,Documentary,7-Jun-2019,118,7.4,English
The Irishman: In Conversation,Aftershow / Interview,27-Nov-2019,23,7.4,English
The Speed Cubers,Documentary,29-Jul-2020,40,7.4,English
They'll Love Me When I'm Dead,Documentary,2-Nov-2018,98,7.4,English
Tig,Documentary,17-Jul-2015,80,7.4,English
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,22-Nov-2017,108,7.5,English
Blackpink: Light Up the Sky,Documentary,14-Oct-2020,79,7.5,Korean
City of Joy,Documentary,7-Sep-2018,74,7.5,English
Dick Johnson Is Dead,Documentary,2-Oct-2020,90,7.5,English
Homecoming: A Film by Beyonce ,Documentary,17-Apr-2019,137,7.5,English
Invader Zim: Enter the Florpus,Animation / Science Fiction,16-Aug-2019,71,7.5,English
Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,English
John Mulaney & the Sack Lunch Bunch,Variety show,24-Dec-2019,70,7.5,English
Reversing Roe,Documentary,13-Sep-2018,99,7.5,English
The White Helmets,Documentary,September 16. 2016,40,7.5,English
Athlete A,Documentary,24-Jun-2020,104,7.6,English
Ludo,Anthology/Dark comedy,12-Nov-2020,149,7.6,Hindi
Quincy,Documentary,21-Sep-2018,124,7.6,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,12-Jun-2019,144,7.6,English
Tell Me Who I Am,Documentary,18-Oct-2019,85,7.6,English
The Bleeding Edge,Documentary,27-Jul-2018,100,7.6,English
The Social Dilemma,Documentary,9-Sep-2020,94,7.6,English
The Two Popes,Drama,20-Dec-2019,125,7.6,English
"What Happened, Miss Simone?",Documentary,26-Jun-2015,84,7.6,English
Yeh Ballet,Drama,21-Feb-2020,117,7.6,Hindi
Anima,Musical / Short,27-Jun-2019,15,7.7,English
Beasts of No Nation,War drama,16-Oct-2015,136,7.7,English/Akan
Brene Brown: The Call to Courage,Documentary,19-Apr-2019,76,7.7,English
Crip Camp: A Disability Revolution,Documentary,25-Mar-2020,108,7.7,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,17-Nov-2017,94,7.7,English
Justin Timberlake + The Tennessee Kids,Concert Film,12-Oct-2016,90,7.7,English
Road to Roma,Making-of,11-Feb-2020,72,7.7,Spanish
Roma,Drama,14-Dec-2018,135,7.7,Spanish
If Anything Happens I Love You,Animation / Short,20-Nov-2020,12,7.8,English
The Irishman,Crime drama,27-Nov-2019,209,7.8,English
The Trial of the Chicago 7,Drama,16-Oct-2020,130,7.8,English
A Secret Love,Documentary,29-Apr-2020,82,7.9,English
Icarus,Documentary,4-Aug-2017,120,7.9,English
Marriage Story,Drama,6-Dec-2019,136,7.9,English
The Ivory Game,Documentary,4-Nov-2016,112,7.9,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,21-Dec-2018,105,8,English
Chasing Coral ,Documentary,14-Jul-2017,89,8.1,English
My Octopus Teacher,Documentary,7-Sep-2020,85,8.1,English
Rising Phoenix,Documentary,26-Aug-2020,106,8.1,English
13th,Documentary,7-Oct-2016,100,8.2,English
Disclosure: Trans Lives on Screen,Documentary,19-Jun-2020,107,8.2,English
Klaus,Animation/Christmas/Comedy/Adventure,15-Nov-2019,97,8.2,English
Seaspiracy,Documentary,24-Mar-2021,89,8.2,English
The Three Deaths of Marisela Escobedo,Documentary,14-Oct-2020,109,8.2,Spanish
Cuba and the Cameraman ,Documentary,24-Nov-2017,114,8.3,English
Dancing with the Birds,Documentary,23-Oct-2019,51,8.3,English
Ben Platt: Live from Radio City Music Hall,Concert Film,20-May-2020,85,8.4,English
Taylor Swift: Reputation Stadium Tour,Concert Film,31-Dec-2018,125,8.4,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,9-Oct-2015,91,8.4,English/Ukranian/Russian
Springsteen on Broadway,One-man show,16-Dec-2018,153,8.5,English
Emicida: AmarElo - It's All For Yesterday,Documentary,8-Dec-2020,89,8.6,Portuguese
David Attenborough: A Life on Our Planet,Documentary,4-Oct-2020,83,9,English
